Rank,Name,Genre,Platform,Publisher,Developer_x,Year,Total_Sales
1,Wii Sports,Sports,Wii,Nintendo,Nintendo EAD,2006.0,82.86
2,Super Mario Bros.,Platform,NES,Nintendo,Nintendo EAD,1985.0,40.24
3,Mario Kart Wii,Racing,Wii,Nintendo,Nintendo EAD,2008.0,37.14
4,PlayerUnknown's Battlegrounds,Shooter,PC,PUBG Corporation,PUBG Corporation,2017.0,36.6
5,Wii Sports Resort,Sports,Wii,Nintendo,Nintendo EAD,2009.0,33.09
6,Pokemon Red / Green / Blue Version,Role-Playing,GB,Nintendo,Game Freak,1998.0,31.38
7,New Super Mario Bros.,Platform,DS,Nintendo,Nintendo EAD,2006.0,30.8
8,Tetris,Puzzle,GB,Nintendo,Bullet Proof Software,1989.0,30.26
9,New Super Mario Bros. Wii,Platform,Wii,Nintendo,Nintendo EAD,2009.0,30.22
10,Minecraft,Misc,PC,Mojang,Mojang AB,2010.0,30.01
11,Duck Hunt,Shooter,NES,Nintendo,Nintendo R&D1,1985.0,28.31
12,Wii Play,Misc,Wii,Nintendo,Nintendo EAD,2007.0,28.02
13,Kinect Adventures!,Party,X360,Microsoft Game Studios,Good Science Studio,2010.0,24.0
14,Nintendogs,Simulation,DS,Nintendo,Nintendo EAD,2005.0,23.96
15,Mario Kart DS,Racing,DS,Nintendo,Nintendo EAD,2005.0,23.6
16,Pokemon Gold / Silver Version,Role-Playing,GB,Nintendo,Game Freak,2000.0,23.1
17,Wii Fit,Sports,Wii,Nintendo,Nintendo EAD,2008.0,22.67
18,Wii Fit Plus,Sports,Wii,Nintendo,Nintendo EAD,2009.0,21.13
19,Super Mario World,Platform,SNES,Nintendo,Nintendo EAD,1991.0,20.61
20,Grand Theft Auto V,Action,PS3,Rockstar Games,Rockstar North,2013.0,20.32
21,Grand Theft Auto V,Action,PS4,Rockstar Games,Rockstar North,2014.0,19.39
22,Brain Age: Train Your Brain in Minutes a Day,Misc,DS,Nintendo,Nintendo SDD,2006.0,19.01
23,Garry's Mod,Misc,PC,Unknown,Team Garry,2004.0,18.58
24,Super Mario Land,Platform,GB,Nintendo,Nintendo R&D1,1989.0,18.14
25,Mario Kart 7,Racing,3DS,Nintendo,Nintendo EAD / Retro Studios,2011.0,18.11
26,Pokemon Diamond / Pearl Version,Role-Playing,DS,Nintendo,Game Freak,2007.0,17.67
27,Grand Theft Auto: San Andreas,Action,PS2,Rockstar Games,Rockstar North,2004.0,17.3
28,Super Mario Bros. 3,Platform,NES,Nintendo,Nintendo R&D2,1990.0,17.28
29,Pokemon X/Y,Role-Playing,3DS,Nintendo,Game Freak,2013.0,16.37
30,Pokemon Ruby / Sapphire Version,Role-Playing,GBA,Nintendo,Game Freak,2003.0,16.22
31,Grand Theft Auto: Vice City,Action,PS2,Rockstar Games,Rockstar North,2002.0,16.15
32,Pokemon Sun/Moon,Role-Playing,3DS,Nintendo,Game Freak,2016.0,16.14
33,Grand Theft Auto V,Action,X360,Rockstar Games,Rockstar North,2013.0,15.86
34,Pokemon Black / White Version,Role-Playing,DS,Nintendo,Game Freak,2011.0,15.64
35,Call of Duty: Black Ops 3,Shooter,PS4,Activision,Treyarch,2015.0,15.09
36,Mario Kart 8 Deluxe,Racing,NS,Nintendo,Nintendo EPD,2017.0,15.02
37,Counter-Strike: Source,Shooter,PC,VU Games,Valve Software,2004.0,15.0
38,Sonic the Hedgehog,Platform,GEN,Sega,Sonic Team,1991.0,15.0
39,Gran Turismo 3: A-Spec,Racing,PS2,Sony Computer Entertainment,Polyphony Digital,2001.0,14.89
40,Brain Age 2: More Training in Minutes a Day,Misc,DS,Nintendo,Nintendo SDD,2007.0,14.88
41,Call of Duty: Modern Warfare 3,Shooter,X360,Activision,Infinity Ward,2011.0,14.82
42,Call of Duty: Black Ops,Shooter,X360,Activision,Treyarch,2010.0,14.74
43,Pokemon Yellow: Special Pikachu Edition,Role-Playing,GB,Nintendo,Game Freak,1999.0,14.64
44,Halo 3,Shooter,X360,Microsoft Game Studios,Bungie Studios,2007.0,14.5
45,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,3DS,Nintendo,Game Freak,2014.0,14.17
46,Red Dead Redemption 2,Action-Adventure,PS4,Rockstar Games,Rockstar Games,2018.0,13.94
47,Call of Duty: Black Ops II,Shooter,X360,Activision,Treyarch,2012.0,13.86
48,Call of Duty: Black Ops II,Shooter,PS3,Activision,Treyarch,2012.0,13.8
49,Super Mario Odyssey,Platform,NS,Nintendo,Nintendo EPD,2017.0,13.76
50,Call of Duty: Modern Warfare 2,Shooter,X360,Activision,Infinity Ward,2009.0,13.53
51,Call of Duty: WWII,Shooter,PS4,Activision,Sledgehammer Games,2017.0,13.4
52,Call of Duty: Modern Warfare 3,Shooter,PS3,Activision,Infinity Ward,2011.0,13.35
53,Super Smash Bros. Brawl,Fighting,Wii,Nintendo,Project Sora,2008.0,13.29
54,Grand Theft Auto III,Action,PS2,Rockstar Games,DMA Design,2001.0,13.1
55,New Super Mario Bros. 2,Platform,3DS,Nintendo,Nintendo,2012.0,13.08
